"iso3";"indicator";"unit";"source";"cts_name";"cts_code";"n_rows";"n_iso3";"min_yr";"max_yr"
"AUT";"Environmental Taxes";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
"AUT";"Taxes on Energy (including fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"AUT";"Taxes on Energy (including fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"AUT";"Taxes on Pollution";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"AUT";"Taxes on Pollution";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"AUT";"Taxes on Resources";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";27;1;1995;2021
"AUT";"Taxes on Resources";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";27;1;1995;2021
"AUT";"Taxes on Transport (excluding fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"AUT";"Taxes on Transport (excluding fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"BEL";"Environmental Taxes";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
"BEL";"Environmental Taxes";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
"BEL";"Taxes on Energy (including fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"BEL";"Taxes on Energy (including fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"BEL";"Taxes on Pollution";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"BEL";"Taxes on Pollution";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"BEL";"Taxes on Resources";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";27;1;1995;2021
"BEL";"Taxes on Resources";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";27;1;1995;2021
"BEL";"Taxes on Transport (excluding fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"BEL";"Taxes on Transport (excluding fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"BFA";"Environmental Taxes";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";6;1;2015;2020
